,Atölye-İşlik,BTSınıfı,Bahçe,Bağlantı,BilimselEtkinlikler,DersBaşlamaveBitiş,Derslik,FenLabaratuarı,FenLaboratuarı,HazırlıkSınıfı,IsınmaŞekli,Kantin,KonferansSalonu,KontenjanBilgileri,Kütüphane,LojmanBilgisi,LojmanSayısı,Misafirhane,MüzikSınıfı,OkulunYGS/LYSBaşarıDurumu,PansiyonBilgisi,ProjeÇalışmaları,RehberÖğretmen,ResimSınıfı,Revir,ServisBilgisi,SporSalonu,SportifEtkinlikler,Taban-TavanPuanBilgileri,YABANCIDIL,Yemekhane,YurtdışıProjeFaaliyetleri,adres,isim,semt,Öğrenci,ÖğretimŞekli,Öğretmen,İlveİlçeMerkezineUzaklık,url
,0,0,0,,,,8,0,,0,,0,0,,0,,,0,0,,,,0,0,0,,0,,,,1,,"Sayalar Mahallesi, Silivri/İSTANBUL",-sayalar i̇lkokulu,SİLİVRİ,59,TAMGÜN,5,,http://Sayalarilkokulu.meb.k12.tr/meb_iys_dosyalar/34/18/731376/okulumuz_hakkinda.html
,0,0,0,ADSL(16Mbitveüzeri),"OkulÖncesidönemdeçocuklardabilimselbilgiyemerakuyandırmaamacıylaokulumuzda,FenveMatematiketkinliklerindedeneyçalışmalarıyapılmaktadır.Ayrıca,okuldüzeyindeEğlenceliBilimveBilimShowEtkinliğiyapılmaktadır.",SabahçıGruplar:0750*1250,12,,0,0,DOĞALGAZ,0,0,300,1,,0,0,0,*,Pansiyonbulunmamaktadır.,´NesillerarasıGönülKöprüsü´,1,0,0,"Öğrencitaşımacılığında,servisbulunmaktadır.",0,"MebOkulÖncesiEğitimProgramındayeralanmotorbecerilerigeliştirmeyeyönelikçalışmalaryapılmaktadır.Ayrıca,ÇocukkulübükapsamındaBedenEğitimiveJimnastikderslerideyapılmaktadır.",*,ÇocukKulübükapsamında;çocuklarınyaşdüzeylerinegöreİngilizceeğitimverilmektedir.,1,,,-i̇stanbul anadolu adalet sarayı anaokulu,KARTAL,260,İkiliEğitimesasolmaklabirlikte;özellikleadliyedeçalışanvelilerimizinmesaisaatigözönündebulundurularaköğledensonralarıiçinkulüplüsınıflarımızbulunmaktadır.,16,OKULUMUZKADIKÖY´EYAKLAŞIKOLARAK20KMMESAFEDEDİR.,http://aasa.meb.k12.tr/meb_iys_dosyalar/34/14/750292/okulumuz_hakkinda.html
,0,1,1,,,,40,2,,0,,1,1,,1,,,0,1,,,,3,0,1,,1,,,,1,,Bahçeşehir 2. Kısım Mah. Şelale Cad. No17  Başakşehir / İstanbul,-abdi i̇brahim ortaokulu,BAŞAKŞEHİR,1351,Normal(Tekli),78,,http://abdiibrahimoo.meb.k12.tr/meb_iys_dosyalar/34/36/731937/okulumuz_hakkinda.html
,1,1,0,,,,28,1,,0,,0,1,,1,,,0,0,,,,0,0,0,,0,,,,0,,Sümer Mah. 65/3 Sok. No1 Zeytinburnu/İSTANBUL,-abdülhak hamit ortaokulu,ZEYTİNBURNU,2300,İkiliÖğretim,89,,http://abdulhakhamit.meb.k12.tr/meb_iys_dosyalar/34/24/316483/okulumuz_hakkinda.html
,0,0,0,ADSL(1Mbit),,07:30/18:00,8,,0,0,Doğalgaz,0,0,,0,,0,0,0,,,,0,0,0,,0,,,,0,,,-abdülkadi̇r öztemi̇r anaokulu,AVCILAR,291,ikili,16,il´e25kmİlçeye´5km,http://abdulkadiroztemir.meb.k12.tr/meb_iys_dosyalar/34/26/750330/okulumuz_hakkinda.html
,2,1,0,,,,21,1,,0,,0,1,,1,,,0,,,,,,,0,,0,,,,0,,Esenyalı Mah. Basiret Sok. No30 Pendik,-abdullah acar ortaokulu,PENDİK,1509,Okulumuzda2´lieğitimyapılmaktadır.,67,,http://abdullahacar.meb.k12.tr/meb_iys_dosyalar/34/16/739977/okulumuz_hakkinda.html
,0,0,1,,,,15,0,,0,,0,1,,0,,,0,1,,,,0,0,0,,1,,,,1,,,-abdullah bin mektum özel eğitim i̇ş uygulama merkezi okulu,BAĞCILAR,133,Tekli,30,,http://abdullahbinmektumisokulu.meb.k12.tr/meb_iys_dosyalar/34/27/748071/okulumuz_hakkinda.html
,0,0,1,,,,7,0,,0,,0,1,,0,,,0,0,,,,0,0,0,,1,,,,1,,,-abdullah bin mektum özel eğitim uygulama merkezi i. kademe,BAĞCILAR,33,Tekli,14,,http://abdullahbinmektumoeum1.meb.k12.tr/meb_iys_dosyalar/34/27/747090/okulumuz_hakkinda.html
,0,0,1,,,,9,0,,0,,0,1,,0,,,0,0,,,,0,0,0,,1,,,,1,,,-abdullah bin mektum özel eğitim uygulama merkezi ii. kademe,BAĞCILAR,51,Tekli,18,,http://abdullahbinmektumoeum2.meb.k12.tr/meb_iys_dosyalar/34/27/747387/okulumuz_hakkinda.html
,1,1,0,,,,40,1,,0,,1,0,,1,,,0,0,,,,1,1,0,,1,,,,0,,Abdurrahman Gazi Mah Abdurrahman Gazi Cad Güzel Bahçe Sk No2 Samandıra SANCAKTEPE/İSTANBUL,-abdurrahmangazi̇ i̇mam hati̇p ortaokulu,SANCAKTEPE,843,Örgün-Normal,36,,http://abdurrahmangaziiho.meb.k12.tr/meb_iys_dosyalar/34/40/759809/okulumuz_hakkinda.html
